n_clusters,log_likelihood,kl_medio,kl_std,wd_medio,wd_std,real_mae,real_mse,real_r2,synthetic_mae,synthetic_mse,synthetic_r2,random_seed
10,3.7515299320220947,1.6187000902353361,1.7708940986100967,478.73462396362027,185.49457534263126,4.811159,35.648983,-0.36884915828704834,4.815041,35.738003,-0.37226725697517393,2151
20,2.996548891067505,0.3023647570333331,0.25824587628032764,269.1132221263577,140.73045128606503,5.014489,38.106804,-0.46322453022003174,4.837948,36.240055,-0.3915451872348785,2151
25,3.2294223308563232,0.6859625423524889,1.3922529629826692,215.34227583426502,135.2416722491761,4.5516376,31.492327,-0.20924198627471924,4.819534,35.79876,-0.3746002125740051,2151
30,1.897179365158081,0.2492293078795032,0.22104700231682592,222.05001776865535,155.2216397734531,4.7223277,34.461346,-0.3232462406158447,4.7996774,35.5193,-0.3638695025444031,2151
35,2.2141165733337402,0.22767580739875717,0.1817854062412552,195.43263241178013,134.1335847474733,4.30329,27.045021,-0.038474321365356445,4.8396263,36.062004,-0.38470834970474244,2151
40,3.0892724990844727,0.24540986516324353,0.12180101195985243,245.52333140508904,110.27783844374905,4.647681,34.467026,-0.32346439361572266,4.7943873,35.323574,-0.35635414004325866,2151
45,2.0511677265167236,0.24239113669682483,0.19690139467354317,202.0033050461941,79.43670058361384,4.8372273,37.214718,-0.42897021770477295,4.8304844,35.976498,-0.3814251071214676,2151
50,3.423229217529297,0.3255105130942041,0.1485888365394155,239.1751856160963,155.3613927033892,4.5635676,33.195343,-0.27463436126708984,4.8216205,35.792263,-0.37435088157653806,2151
10,3.6700079441070557,1.112735201703902,1.4650946262590718,375.2153583396288,189.29580539011434,4.8164916,37.000267,-0.43890631198883057,4.8418155,36.70595,-0.4274606227874756,6168
20,3.3240931034088135,0.36187998252368025,0.16005053547988304,323.14039993409204,152.14758595479256,5.256626,40.200462,-0.5633589029312134,4.8201323,36.10293,-0.4040095829963684,6168
25,3.1201844215393066,0.38197401225078287,0.27649487977142334,277.98577169965205,97.09336955491344,4.6667027,32.09488,-0.2481403350830078,4.8381114,36.556156,-0.4216351068019867,6168
30,3.4346296787261963,0.27466055433686554,0.17454646776477,215.02132111315893,109.05002749747669,4.7272024,33.39007,-0.2985091209411621,4.8102465,36.53791,-0.42092565655708314,6168
35,3.1184487342834473,0.21313858241696476,0.13133197393134663,229.3323122212447,128.53937784702694,5.3869386,43.803383,-0.7034730911254883,4.7898555,35.713715,-0.3888735318183899,6168
40,2.9547605514526367,0.21325261130810955,0.1485072235963112,206.20041764078732,106.31996397394649,4.812506,38.495094,-0.49703872203826904,4.8272266,36.23873,-0.40929084062576293,6168
45,2.24379563331604,0.15584838309086463,0.09808205242698542,157.90661141796252,72.48549767892007,4.681102,35.605106,-0.3846496343612671,4.8266287,36.20634,-0.40803125500679016,6168
50,2.3344976902008057,0.2182892618067954,0.102477225759032,205.34831676406603,92.58507970791123,4.787391,34.744366,-0.351176381111145,4.8327565,36.270275,-0.4105175077915192,6168
10,3.4518356323242188,1.0153291324337246,1.702535108992259,354.55985708666356,255.98101779866371,5.1966558,39.99877,-0.4813718795776367,5.004845,38.91399,-0.44119662761688233,9729
20,3.305570363998413,0.4997554473669716,0.8072990623554556,288.5859297362054,233.39219952538076,4.8864174,38.243954,-0.41638147830963135,4.972516,38.025196,-0.4082796162366867,9729
25,3.341097354888916,0.4524755859950257,0.29233585697463643,336.0569951569923,181.89559431204452,5.0589733,39.675808,-0.46941089630126953,5.0035334,38.728184,-0.4343151235580444,9729
30,2.1258134841918945,0.16137221069732044,0.1059099671265905,157.30240328859435,85.65030701318723,4.7112727,34.59077,-0.28108417987823486,4.994236,38.45875,-0.42433656990528107,9729
35,2.208139657974243,0.20194526337663526,0.1609268073609224,185.4473749306873,86.6636386101368,4.93329,35.399494,-0.3110356330871582,4.959848,37.77719,-0.39909482806921004,9729
40,1.6157138347625732,0.18567333294692218,0.14084156832426986,180.62685987911598,134.54124599872003,4.7153015,33.72488,-0.2490156888961792,4.9563103,37.97887,-0.4065639889240265,9729
45,2.1086182594299316,0.15098749335680914,0.09973035910972144,147.41715208924558,63.43470669647754,5.093309,38.850105,-0.4388306140899658,4.9865375,38.326473,-0.4194375604391098,9729
50,1.672439694404602,0.15115781203064807,0.0847472033186731,154.45211471668833,65.41901635514871,4.776693,33.963142,-0.2578396797180176,4.960289,37.95911,-0.40583215534687045,9729
